fork,treatment,replicate,instrument,truth_layer,metric,pre,post,delta
ncn_id_hub_r1,hub,1,community_nmi,observed_interaction,nmi,,,
ncn_id_hub_r2,hub,2,community_nmi,observed_interaction,nmi,,,
ncn_id_broker_r1,broker,1,community_nmi,observed_interaction,nmi,,,
ncn_id_broker_r2,broker,2,community_nmi,observed_interaction,nmi,,,
ncn_id_control_r1,control,1,community_nmi,observed_interaction_recent,nmi,,,
ncn_id_control_r2,control,2,community_nmi,observed_interaction_recent,nmi,,,
ncn_id_hub_r1,hub,1,community_nmi,observed_interaction_recent,nmi,,,
ncn_id_hub_r2,hub,2,community_nmi,observed_interaction_recent,nmi,,,
ncn_id_broker_r1,broker,1,community_nmi,observed_interaction_recent,nmi,,,
ncn_id_broker_r2,broker,2,community_nmi,observed_interaction_recent,nmi,,,
ncn_id_control_r1,control,1,community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,,
ncn_id_control_r2,control,2,community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,,
ncn_id_hub_r1,hub,1,community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,,
ncn_id_hub_r2,hub,2,community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,,
ncn_id_broker_r1,broker,1,community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,,
ncn_id_broker_r2,broker,2,community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,,
ncn_id_control_r1,control,1,community_nmi,observed_interaction_recent_betweenness_rank,nmi,,,
ncn_id_control_r2,control,2,community_nmi,observed_interaction_recent_betweenness_rank,nmi,,,
ncn_id_hub_r1,hub,1,community_nmi,observed_interaction_recent_betweenness_rank,nmi,,,
ncn_id_hub_r2,hub,2,community_nmi,observed_interaction_recent_betweenness_rank,nmi,,,
ncn_id_broker_r1,broker,1,community_nmi,observed_interaction_recent_betweenness_rank,nmi,,,
ncn_id_broker_r2,broker,2,community_nmi,observed_interaction_recent_betweenness_rank,nmi,,,
ncn_id_control_r1,control,1,community_nmi,observed_interaction_louvain_communities,nmi,0.255877,0.348175,0.09229799999999999
ncn_id_control_r2,control,2,community_nmi,observed_interaction_louvain_communities,nmi,0.255877,0.27332,0.017442999999999986
ncn_id_hub_r1,hub,1,community_nmi,observed_interaction_louvain_communities,nmi,0.255877,0.26564,0.009762999999999966
ncn_id_hub_r2,hub,2,community_nmi,observed_interaction_louvain_communities,nmi,0.255877,0.225912,-0.02996500000000002
ncn_id_broker_r1,broker,1,community_nmi,observed_interaction_louvain_communities,nmi,0.255877,0.279727,0.023849999999999982
ncn_id_broker_r2,broker,2,community_nmi,observed_interaction_louvain_communities,nmi,0.255877,0.246425,-0.009452000000000016
ncn_id_control_r1,control,1,community_nmi,observed_interaction_recent_louvain_communities,nmi,0.255877,0.359465,0.10358799999999996
ncn_id_control_r2,control,2,community_nmi,observed_interaction_recent_louvain_communities,nmi,0.255877,0.295028,0.03915099999999999
ncn_id_hub_r1,hub,1,community_nmi,observed_interaction_recent_louvain_communities,nmi,0.255877,0.246272,-0.00960500000000003
ncn_id_hub_r2,hub,2,community_nmi,observed_interaction_recent_louvain_communities,nmi,0.255877,0.27598,0.020102999999999982
ncn_id_broker_r1,broker,1,community_nmi,observed_interaction_recent_louvain_communities,nmi,0.255877,0.275569,0.019691999999999987
ncn_id_broker_r2,broker,2,community_nmi,observed_interaction_recent_louvain_communities,nmi,0.255877,0.278401,0.02252399999999999
ncn_id_control_r1,control,1,shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,10.52,10.36,-0.16000000000000014
ncn_id_control_r2,control,2,shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,10.52,11.16,0.6400000000000006
ncn_id_hub_r1,hub,1,shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,10.52,12.2,1.6799999999999997
ncn_id_hub_r2,hub,2,shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,10.52,11.72,1.200000000000001
ncn_id_broker_r1,broker,1,shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,10.52,12.56,2.040000000000001
ncn_id_broker_r2,broker,2,shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,10.52,11.16,0.6400000000000006
ncn_id_control_r1,control,1,shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,11.12,12.44,1.3200000000000003
ncn_id_control_r2,control,2,shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,11.12,12.24,1.120000000000001
ncn_id_hub_r1,hub,1,shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,11.12,12.64,1.5200000000000014
ncn_id_hub_r2,hub,2,shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,11.12,12.8,1.6800000000000015
ncn_id_broker_r1,broker,1,shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,11.12,11.8,0.6800000000000015
ncn_id_broker_r2,broker,2,shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,11.12,12.24,1.120000000000001
